cik,year
0000033769,2006
0000033769,2007
0000033769,2008
0000033769,2009
0000033769,2010
0001328581,2010
0001328581,2011
0001328581,2012
0001328581,2013
0001328581,2014
0001328581,2015
0001328581,2016
0001391390,2007
0001391390,2008
0001391390,2009
0001391390,2010
0001391390,2011
0000354655,2006
0000354655,2007
0000354655,2008
0000354655,2009
0000354655,2010
0000354655,2011
0000354655,2012
0000354655,2013
0000354655,2014
0000878079,2006
0000878079,2007
0000878079,2008
0000878079,2009
0000878079,2010
0000878079,2011
0000878079,2012
0001624512,2020
0001624512,2021
0001624512,2022
0001495479,2009
0001495479,2010
0001495479,2011
0001495479,2012
0001495479,2013
0001495479,2014
0001495479,2015
0000099359,2008
0000099359,2009
0000099359,2010
0000099359,2011
0000099359,2012
0000099359,2013
0000099359,2014
0000819050,2018
0000819050,2019
0000819050,2020
0000819050,2021
0000819050,2022
0000014177,2008
0000014177,2009
0000014177,2010
0000014177,2011
0000014177,2012
0000014177,2013
0000014177,2014
0000014177,2015
0000014177,2016
0000014177,2017
0000014177,2018
0000014177,2019
0000014177,2020
0000703351,2008
0000703351,2009
0000703351,2010
0000703351,2011
0000703351,2012
0000703351,2013
0000703351,2014
0001054374,2006
0001054374,2007
0001054374,2008
0001054374,2009
0001054374,2010
0001054374,2012
0001054374,2013
0001054374,2014
0001730168,2014
0001730168,2015
0001730168,2016
0001730168,2017
0001730168,2018
0001730168,2019
0001730168,2020
0001009626,2014
0001009626,2015
0001009626,2016
0001109354,2006
0001109354,2007
0001109354,2008
0001109354,2009
0001109354,2010
0001109354,2011
0001109354,2012
0001109354,2013
0001109354,2014
0001109354,2015
0001109354,2016
0001109354,2017
0001109354,2018
0001109354,2019
0001109354,2020
0001109354,2021
0001109354,2022
0000885245,2011
0000885245,2012
0000885245,2013
0000885245,2014
0000885245,2015
0000885245,2016
0000885245,2017
0000740761,2007
0000740761,2008
0000740761,2009
0000740761,2010
0001062449,2012
0001062449,2013
0001062449,2014
0001062449,2015
0001062449,2016
0000721447,2008
0000721447,2009
0000721447,2010
0000721447,2011
0000721447,2012
0000721447,2013
0000721447,2014
0000721447,2015
0000721447,2016
0000721447,2017
0000721447,2018
0000003197,2008
0000003197,2009
0000003197,2010
0000003197,2011
0000003197,2012
0000003197,2013
0000003197,2014
0001402057,2009
0001402057,2010
0001402057,2011
0001402057,2012
0001402057,2013
0001402057,2014
0001402057,2015
0001402057,2016
0001402057,2018
0001402057,2019
0001402057,2020
0001402057,2021
0001402057,2022
0000889348,2008
0000889348,2009
0000889348,2010
0000889348,2011
0000889348,2012
0000889348,2013
0000889348,2014
0000814676,2009
0000814676,2010
0000814676,2011
0000814676,2012
0000814676,2013
0000814676,2014
0000814676,2015
0001641614,2018
0001641614,2019
0001641614,2020
0001641614,2021
0001641614,2022
0001624794,2014
0001624794,2015
0001624794,2016
0001624794,2017
0001624794,2018
0000891293,2012
0000891293,2013
0000891293,2014
0000891293,2015
0000891293,2016
0000891293,2017
0000891293,2018
0000891293,2019
0000891293,2020
0000891293,2021
0000891293,2022
0000026058,2008
0000026058,2009
0000026058,2010
0000026058,2011
0000026058,2012
0000026058,2013
0000026058,2014
0000026058,2015
0000026058,2016
0000026058,2017
0000026058,2018
0000026058,2019
0000026058,2020
0000026058,2021
0000026058,2022
0000766792,2006
0000766792,2007
0000766792,2008
0000766792,2009
0000766792,2010
0000766792,2011
0000766792,2012
0001376139,2009
0001376139,2010
0001376139,2011
0001376139,2012
0001376139,2013
0001376139,2014
0001376139,2015
0001376139,2016
0001376139,2017
0001759138,2018
0001759138,2019
0001759138,2020
0001759138,2021
0001759138,2022
0001699136,2016
0001699136,2017
0001699136,2018
0001699136,2019
0001699136,2020
0001699136,2021
0001699136,2022
0000320017,2012
0000320017,2013
0000320017,2014
0000320017,2015
0000320017,2016
0000320017,2017
0000320017,2018
0000320017,2019
0000320017,2020
0000320017,2021
0000320017,2022
0000730255,2011
0000730255,2012
0000730255,2013
0000730255,2014
0000730255,2015
0000730255,2016
0000730255,2017
0000730255,2018
0000730255,2019
0000730255,2020
0000730255,2021
0000730255,2022
0001133470,2014
0001133470,2015
0001133470,2016
0001133470,2017
0001133470,2018
0001133470,2019
0001133470,2020
0000014707,2010
0000014707,2011
0000014707,2012
0000014707,2013
0000014707,2014
0000014707,2015
0000014707,2016
0000812701,2008
0000812701,2009
0000812701,2010
0000812701,2011
0000812701,2012
0000812701,2013
0000812701,2014
0001406666,2008
0001406666,2009
0001406666,2010
0001406666,2011
0001406666,2012
0001406666,2013
0001406666,2014
0001406666,2015
0001406666,2016
0001406666,2017
0001406666,2018
0001406666,2019
0000837465,2018
0000837465,2019
0000837465,2020
0000837465,2021
0000837465,2022
0001142380,2007
0001142380,2008
0001142380,2009
0001142380,2010
0001142380,2011
0000820081,2014
0000820081,2015
0000820081,2016
0000820081,2017
0000820081,2018
0001178104,2014
0001178104,2015
0001178104,2016
0001178104,2017
0001217234,2015
0001217234,2016
